genes	peak_snp	trait
ube2l3b	5:12451112	Latency_to_1st_dark_zone_entry
ccl19a.1	5:12451112	Latency_to_1st_dark_zone_entry
ccl19a.2	5:12451112	Latency_to_1st_dark_zone_entry
tctn2	5:12451112	Latency_to_1st_dark_zone_entry
sec14l8	5:12451112	Latency_to_1st_dark_zone_entry
CU914811.1	5:66959339	Latency_to_1st_dark_zone_entry
stip1	5:66959339	Latency_to_1st_dark_zone_entry
rps6ka4	5:66959339	Latency_to_1st_dark_zone_entry
rom1a	5:66959339	Latency_to_1st_dark_zone_entry
rgs19	23:8624915	Std_of_trial_LDCIs
tcea2	23:8624915	Std_of_trial_LDCIs
si:ch211-122h15.4	20:14046054	Trial2_LDCI
opn8c	20:14046054	Trial2_LDCI
lpgat1	20:14046054	Trial2_LDCI
nek2	20:14046054	Trial2_LDCI
slc30a1a	20:14046054	Trial2_LDCI
si:dkey-249p7.4	20:14046054	Trial2_LDCI
rd3	20:14046054	Trial2_LDCI
si:ch211-22i13.2	20:14046054	Trial2_LDCI
rhag	20:14046054	Trial2_LDCI
zpax2	20:14046054	Trial2_LDCI
kcns3b	20:14046054	Trial2_LDCI
dlgap2b	20:14046054	Trial2_LDCI
protein_coding	20:14046054	Trial2_LDCI
si:dkey-69c1.1	20:14046054	Trial2_LDCI
scrn2	20:14046054	Trial2_LDCI
suco	20:14046054	Trial2_LDCI
tmed5	20:14046054	Trial2_LDCI
pigc	20:14046054	Trial2_LDCI
dnm3a	20:14046054	Trial2_LDCI
mettl13	20:14046054	Trial2_LDCI
itpa	20:14046054	Trial2_LDCI
vamp4	20:14046054	Trial2_LDCI
myoc	20:14046054	Trial2_LDCI
prrc2c	20:14046054	Trial2_LDCI
si:dkey-239i20.2	20:14046054	Trial2_LDCI
fmo5	20:14046054	Trial2_LDCI
si:dkey-239i20.4	20:14046054	Trial2_LDCI
plpp6	20:14046054	Trial2_LDCI
prdx6	20:14046054	Trial2_LDCI
jun	20:14046054	Trial2_LDCI
caiap	20:14046054	Trial2_LDCI
si:dkey-86e18.1	20:14046054	Trial2_LDCI
faslg	20:14046054	Trial2_LDCI
si:dkey-25g12.4	17:36400200	Trial4_LDCI
colec11	17:36400200	Trial4_LDCI
htr1b	17:36400200	Trial4_LDCI
impg1b	17:36400200	Trial4_LDCI
myo6b	17:36400200	Trial4_LDCI
senp6b	17:36400200	Trial4_LDCI
mapre3a	17:36400200	Trial4_LDCI
dpysl5a	17:36400200	Trial4_LDCI
BX571720.2	17:36400200	Trial4_LDCI
dnmt3ab	17:36400200	Trial4_LDCI
