"genes"	"peak_snp"	"trait"
"MAPK1"	"5:12451112"	"Latency_to_1st_dark_zone_entry"
"NOS1"	"5:12451112"	"Latency_to_1st_dark_zone_entry"
"P2RX2"	"5:12451112"	"Latency_to_1st_dark_zone_entry"
"PES1"	"5:12451112"	"Latency_to_1st_dark_zone_entry"
"POLE"	"5:12451112"	"Latency_to_1st_dark_zone_entry"
"PPIL2"	"5:12451112"	"Latency_to_1st_dark_zone_entry"
"PPM1F"	"5:12451112"	"Latency_to_1st_dark_zone_entry"
"RFC5"	"5:12451112"	"Latency_to_1st_dark_zone_entry"
"SDF2L1"	"5:12451112"	"Latency_to_1st_dark_zone_entry"
"TCTN2"	"5:12451112"	"Latency_to_1st_dark_zone_entry"
"TOP3B"	"5:12451112"	"Latency_to_1st_dark_zone_entry"
"UBE2L3"	"5:12451112"	"Latency_to_1st_dark_zone_entry"
"VSIG10"	"5:12451112"	"Latency_to_1st_dark_zone_entry"
"WSB2"	"5:12451112"	"Latency_to_1st_dark_zone_entry"
"YDJC"	"5:12451112"	"Latency_to_1st_dark_zone_entry"
"YPEL1"	"5:12451112"	"Latency_to_1st_dark_zone_entry"
"HSF5"	"5:3117060"	"LDCI"
"SUPT4H1"	"5:3117060"	"LDCI"
"ROM1"	"5:66959339"	"Latency_to_1st_dark_zone_entry"
"RPS6KA4"	"5:66959339"	"Latency_to_1st_dark_zone_entry"
"STIP1"	"5:66959339"	"Latency_to_1st_dark_zone_entry"
