"","gene","peak_snp","post_prob.x","post_prob.y","post_prob.x.1","post_prob.y.1","post_prob.x.2","post_prob.y.2","post_prob.x.3","post_prob.y.3","post_prob.x.4","post_prob.y.4","post_prob.x.5","post_prob.y.5","post_prob.x.6","post_prob.y.6","post_prob.x.7","post_prob.y.7","post_prob.x.8","post_prob.y.8","post_prob.x.9","post_prob.y.9","post_prob.x.10","post_prob.y.10","post_prob.x.11","post_prob.y.11","post_prob.x.12","post_prob.y.12","post_prob.x.13","post_prob.y.13","post_prob.x.14","post_prob.y.14","post_prob.x.15","post_prob.y.15","post_prob.x.16","post_prob.y.16","post_prob.x.17","post_prob.y.17","post_prob.x.18","post_prob.y.18","post_prob.x.19","post_prob.y.19","post_prob.x.20","post_prob.y.20","post_prob.x.21","post_prob.y.21","post_prob.x.22","post_prob.y.22","post_prob.x.23","post_prob.y.23","post_prob.x.24","post_prob.y.24","post_prob.x.25","post_prob.y.25","post_prob.x.26","post_prob.y.26","post_prob.x.27","post_prob.y.27","post_prob.x.28","post_prob.y.28","post_prob.x.29","post_prob.y.29","post_prob.x.30","post_prob.y.30","post_prob.x.31","post_prob.y.31","post_prob.x.32","post_prob.y.32","post_prob.x.33","post_prob.y.33","post_prob.x.34","post_prob.y.34","post_prob.x.35","post_prob.y.35","post_prob.x.36","post_prob.y.36","post_prob.x.37","post_prob.y.37","post_prob.x.38","post_prob.y.38","post_prob.x.39","post_prob.y.39","post_prob.x.40","post_prob.y.40","post_prob.x.41","post_prob.y.41","post_prob.x.42","post_prob.y.42","post_prob.x.43","post_prob.y.43","post_prob.x.44","post_prob.y.44","post_prob.x.45","post_prob.y.45","post_prob.x.46","post_prob.y.46","post_prob.x.47","post_prob.y.47","post_prob.x.48","post_prob.y.48","post_prob.x.49","post_prob.y.49","average_rank"
"1","ace2","11:29830387",0.0465935787000783,0.0410534469403563,0.0480993017843289,0.0410798122065728,0.046448087431694,0.0393545848091303,0.044513861772745,0.0492438929817759,0.0544959128065395,0.0404511863088292,0.0446708463949843,0.0500195388823759,0.0454192546583851,0.04609375,0.0402186645841468,0.042264443582784,0.0409516380655226,0.0507948817371074,0.0431034482758621,0.0474882260596546,0.0452771272443404,0.0486847271299568,0.0415050426687355,0.0442616529573051,0.0459724950884086,0.0462563700509604,0.0436630602782071,0.0450980392156863,0.050880626223092,0.0438834951456311,0.0442270058708415,0.0467289719626168,0.046075751659508,0.0514532600157109,0.0474523531699728,0.053515625,0.0483242400623539,0.0490081680280047,0.0429732868757259,0.0509604076832615,0.0442307692307692,0.0405192761605035,0.0422535211267606,0.0471327572663001,0.0441924129839656,0.0470957613814757,0.0520186335403727,0.0460218408736349,0.0474523531699728,0.0462674961119751,0.0394011032308905,0.0461598138091544,0.046117461568782,0.0465389127884239,0.0469667318982387,0.0482163857310859,0.046583850931677,0.0349378881987578,0.0451866404715128,0.0473581213307241,0.050390625,0.0466200466200466,0.0495900039047247,0.042059748427673,0.037037037037037,0.050682261208577,0.0476748729972646,0.0444617784711388,0.0490773458971339,0.0385814497272019,0.0500970873786408,0.0450485436893204,0.0466849744998038,0.0448916408668731,0.0526932084309134,0.0433241433635289,0.0454722114263506,0.0471142520612485,0.0388802488335925,0.0473952213082648,0.0438013296832225,0.047339593114241,0.0459363957597173,0.0451866404715128,0.0409996095275283,0.0490463215258856,0.0497259201252937,0.0450310559006211,0.0499419279907085,0.0502901353965184,0.0429184549356223,0.0529411764705882,0.0456852791878173,0.0427115987460815,0.0576773187840998,0.0516431924882629,0.0455784962991819,0.048046875,0.0519125683060109,0.0391149743184512,0.0460651736129887
"2","acsm3","2:44880680",0.0223179326546594,0.028272656855151,0.0267649340574088,0.0285602503912363,0.0269320843091335,0.0283353010625738,0.0304568527918782,0.0275300504071345,0.0307512650836902,0.0274490192809913,0.0317398119122257,0.0406408753419304,0.0295031055900621,0.0296875,0.0285044904334244,0.032570763861962,0.0253510140405616,0.035672741372625,0.0282131661442006,0.0239403453689168,0.0281030444964871,0.0325873576756969,0.0345228859581071,0.0301605953779867,0.0333988212180747,0.0278322226577813,0.0262751159196291,0.0317647058823529,0.0324853228962818,0.0279611650485437,0.0344422700587084,0.0323208722741433,0.0316282702069504,0.0314218381775334,0.0290048341390232,0.030078125,0.0311769290724864,0.0252819914430183,0.0263259775454897,0.0333202665621325,0.0296153846153846,0.0318646734854445,0.0277777777777778,0.0267085624509034,0.0312866640594447,0.0310047095761381,0.030667701863354,0.0335413416536661,0.0241151302994944,0.0248833592534992,0.02876280535855,0.0314197051978278,0.0309139028098429,0.0293312475557294,0.0281800391389432,0.0282242257938063,0.0345496894409938,0.0288930789707187,0.0282907662082515,0.0281800391389432,0.026953125,0.0275835275835276,0.0273330730183522,0.0318396226415094,0.0269005847953216,0.0296296296296296,0.0339976553341149,0.0261310452418097,0.0243423635649784,0.0261106780982073,0.036504854368932,0.0302912621359223,0.0262848175755198,0.0336687306501548,0.0349057655849225,0.0275699094131548,0.0229304314030315,0.0243423635649784,0.031104199066874,0.0305522914218566,0.0340242471646461,0.0332550860719875,0.0255202198665096,0.037721021611002,0.0300663803201874,0.0237446477228494,0.0274079874706343,0.0341614906832298,0.0301974448315912,0.0294003868471954,0.0319937573156457,0.0254901960784314,0.0316282702069504,0.0289968652037618,0.0280592361652377,0.0289514866979656,0.0292169848071679,0.034765625,0.0335675253708041,0.026866851047017,0.0296550921779452
"3","acsm3","2:45038809",0.0828112764291308,0.0859798605731991,0.0880527540729247,0.0989827856025039,0.0839188134270101,0.0771349862258953,0.0909800859039438,0.100038774718883,0.0916699104710004,0.0851808634772462,0.0826802507836991,0.0976944118796405,0.0807453416149068,0.084765625,0.0900039047247169,0.0787126793330748,0.0854134165366615,0.0918960837533928,0.0975705329153605,0.087519623233909,0.0850897736143638,0.0867687475461327,0.0832040341349884,0.0955738347042695,0.0844793713163065,0.0923167385339083,0.0815301391035549,0.0850980392156863,0.0747553816046967,0.0924271844660194,0.100195694716243,0.0926791277258567,0.0847325263568918,0.0895522388059701,0.0840140023337223,0.08671875,0.0890491036632892,0.0900427849085959,0.0884630274874177,0.0870246961975696,0.0780769230769231,0.0826121164437451,0.07981220657277,0.0789473684210526,0.0913179507235041,0.0922291993720565,0.0873447204968944,0.0926287051482059,0.0962660443407235,0.0765940902021773,0.0918045705279748,0.0915438324282389,0.0869136775719354,0.0746969104419241,0.0915851272015656,0.0846726773814191,0.0966614906832298,0.0799689440993789,0.0891944990176817,0.0908023483365949,0.085546875,0.0858585858585859,0.0859039437719641,0.0908018867924528,0.0881091617933723,0.089083820662768,0.0969128565846034,0.103354134165367,0.0812720848056537,0.0861262665627436,0.0813592233009709,0.090873786407767,0.0886622204786191,0.0870743034055728,0.0765027322404372,0.0866482867270579,0.0855033035367276,0.0867687475461327,0.0913685847589425,0.0959655307481394,0.0782166601486117,0.0895931142410016,0.0930506478209658,0.093516699410609,0.0892229597813354,0.0885558583106267,0.0900548159749413,0.093944099378882,0.0789779326364692,0.0796905222437137,0.0877877487319547,0.0892156862745098,0.0819992190550566,0.094435736677116,0.0806703039750585,0.0876369327073552,0.090377873003506,0.08984375,0.0804059328649493,0.0825760568945081,0.0875260946487963
"4","alg3","2:44880680",0.0270164447924824,0.0302091402013943,0.0287044220325834,0.0277777777777778,0.0312256049960968,0.0318772136953955,0.0242092932448262,0.0310197751066305,0.0288049824834566,0.029171528588098,0.0278213166144201,0.0281359906213365,0.031832298136646,0.033203125,0.0312377977352597,0.0290810391624661,0.0273010920436817,0.0279177975959674,0.0297805642633229,0.0274725274725275,0.0269320843091335,0.0314095013741657,0.0263770364623739,0.027027027027027,0.0349705304518664,0.0297922383379067,0.0293663060278207,0.0235294117647059,0.0317025440313112,0.0296809986130374,0.0305283757338552,0.0311526479750779,0.0288949629051152,0.0314218381775334,0.0241151302994944,0.0361607142857143,0.0261106780982073,0.0283936211590821,0.029810298102981,0.0305762446099569,0.0330769230769231,0.025963808025177,0.0348200312989045,0.0310290652003142,0.0297223308564724,0.0300515810719892,0.0267857142857143,0.0288611544461778,0.0307273434461299,0.0318818040435459,0.0275807722616233,0.0290923196276183,0.0287741426882144,0.026593664450528,0.0301369863013699,0.0325362602900823,0.0287267080745342,0.0287267080745342,0.0282907662082515,0.0262230919765166,0.035546875,0.0314685314685315,0.0310146706085792,0.0306603773584906,0.0280701754385965,0.0292397660818713,0.0304806565064478,0.0269110764430577,0.0286611700039262,0.0257209664848012,0.029126213592233,0.0244660194174757,0.0313848568065908,0.0305727554179567,0.0288836846213895,0.0350531705395825,0.036144578313253,0.0255202198665096,0.036547433903577,0.0303284651110738,0.0305044974579585,0.0363849765258216,0.0314095013741657,0.0239685658153242,0.0351425224521671,0.0303620085636434,0.024275646045419,0.0302795031055901,0.0299762181295282,0.0290135396518375,0.0351150994927819,0.0305882352941176,0.0222569308863725,0.0325235109717868,0.0354637568199532,0.0312989045383412,0.0354499415660304,0.0265625,0.0261514441842311,0.0355590675622284,0.029794411304366
"5","alg3","2:45038809",0.0900548159749413,0.087141750580945,0.0845616757176106,0.0819640062597809,0.0757220921155347,0.0863833136560409,0.0901991409605623,0.0827840248158201,0.0844686648501362,0.0890704006223259,0.0920846394984326,0.0836264165689723,0.0896739130434783,0.099609375,0.0847325263568918,0.0837533927879023,0.0885335413416537,0.0884063590538969,0.0842476489028213,0.0886970172684458,0.0897736143637783,0.0846093443266588,0.0837858805275407,0.0842146494320407,0.0895874263261297,0.0811446491571933,0.0819165378670788,0.0937254901960784,0.0954990215264188,0.0897087378640777,0.0953033268101761,0.0899532710280374,0.0827801639984381,0.0852317360565593,0.0976273823415014,0.08671875,0.0837879968823071,0.0894593543368339,0.0747193186217577,0.0850646805174441,0.0842307692307692,0.0932336742722266,0.0985915492957746,0.0887666928515318,0.0856472428627298,0.0941915227629513,0.0958850931677019,0.101014040561622,0.0921820303383897,0.0882581648522551,0.0874704491725768,0.0839798293250582,0.0918407567993693,0.0852561595619867,0.0888454011741683,0.097608780870247,0.078416149068323,0.0838509316770186,0.0821218074656189,0.0935420743639922,0.08125,0.0986790986790987,0.0819992190550566,0.0925707547169811,0.0943469785575049,0.0951267056530214,0.0879249706916764,0.0951638065522621,0.0838241067923047,0.0826188620420888,0.0916504854368932,0.0887378640776699,0.0953315025500196,0.0924922600619195,0.092896174863388,0.0972823946435605,0.07617567042363,0.0777385159010601,0.0863141524105754,0.0967489228358794,0.0950332420805632,0.0901799687010955,0.0840204161758932,0.0888015717092338,0.0976181179226864,0.0903075126508369,0.091425215348473,0.0923913043478261,0.0948509485094851,0.0943907156673114,0.0842762387826766,0.0866666666666667,0.0862944162436548,0.0846394984326019,0.088269680436477,0.0905712050078247,0.0942734709777951,0.089453125,0.0850897736143638,0.0916633741604109,0.0886434807561102
"6","anxa5a","14:46314911",0.0614722004698512,0.0623547637490318,0.0756400310318076,0.0748099709367315,0.0749414519906323,0.0669027941755214,0.0702850449043343,0.0612640558355952,0.0696769170883612,0.0665110851808635,0.0744514106583072,0.0644783118405627,0.0601708074534162,0.077734375,0.067551737602499,0.071733229934083,0.0756630265210608,0.0709577355564172,0.0709247648902821,0.0749607535321821,0.0741608118657299,0.0687082842559874,0.0725368502715283,0.0661966314140227,0.0785012629806343,0.06515652125217,0.0676197836166924,0.0675350140056022,0.0712328767123288,0.0792233009708738,0.0661448140900196,0.0716510903426791,0.0710659898477157,0.0671641791044776,0.0785686503306107,0.062890625,0.073655494933749,0.0727343446129911,0.0692992644212156,0.0670325362602901,0.0684615384615385,0.0727773406766326,0.0684663536776213,0.0745427000336663,0.0746969104419241,0.0569073783359498,0.0694875776397516,0.0756630265210608,0.0746791131855309,0.0746500777604977,0.0740740740740741,0.0582677601684584,0.0709499408750493,0.0722666070730208,0.0735812133072407,0.0768326146609173,0.0683229813664596,0.0687111801242236,0.0707269155206287,0.0708414872798434,0.0680524553571429,0.0738150738150738,0.0631728677413957,0.0719339622641509,0.0697855750487329,0.0697855750487329,0.0672137553731927,0.0678627145085803,0.0679230467216333,0.0740452065471551,0.0644660194174757,0.072621359223301,0.0674774421341703,0.070046439628483,0.0733801717408275,0.0791650256006302,0.0652934317916829,0.0702787593246957,0.083592534992224,0.0701135918527223,0.0660930778255768,0.0629890453834116,0.0722418531605811,0.068762278978389,0.0733251520053551,0.0770727909692487,0.0747846515270164,0.062888198757764,0.0727835849787069,0.0731141199226306,0.0655481857198595,0.0752941176470588,0.0679422100741898,0.0677899686520376,0.0744349181605612,0.0715962441314554,0.0708998831320608,0.0672712053571429,0.0698672911787666,0.0596602133544054,0.0702285358487317
"7","arhgap12a","2:44880680",0.0231010180109632,0.0329202168861348,0.0325833979829325,0.0312989045383412,0.0327868852459016,0.0240062967335695,0.0324092151503319,0.025979061651803,0.0377578824445309,0.0361726954492415,0.0315158978952082,0.0304806565064478,0.031832298136646,0.0283482142857143,0.0367044123389301,0.0345094998061264,0.031591263650546,0.0279177975959674,0.0278213166144201,0.0290423861852433,0.0277127244340359,0.0314095013741657,0.0345228859581071,0.0297688993341167,0.031041257367387,0.0364562916503332,0.0262751159196291,0.0317647058823529,0.0320939334637965,0.0345631067961165,0.0344422700587084,0.0272585669781931,0.0324092151503319,0.0274941084053417,0.0280046674445741,0.0265625,0.0350740452065472,0.0334500194476857,0.029810298102981,0.0301842414739318,0.035,0.033044846577498,0.0285602503912363,0.0294579732914375,0.03324208056316,0.0302197802197802,0.0328305235137533,0.031591263650546,0.0268378063010502,0.0318818040435459,0.0334909377462569,0.0345228859581071,0.0342924714229405,0.0316777473601877,0.0273972602739726,0.0231281850254802,0.0361024844720497,0.0283385093167702,0.037721021611002,0.0309197651663405,0.03515625,0.0314685314685315,0.0269426005466615,0.0338050314465409,0.0339181286549708,0.0307992202729045,0.0320437670965221,0.0318141297080455,0.0337652139772281,0.0346843335931411,0.0299029126213592,0.0314563106796117,0.0317771675166732,0.0297987616099071,0.0292740046838408,0.025600630169358,0.0334240186552662,0.0306242638398115,0.0272161741835148,0.0332941637289463,0.0305044974579585,0.0301251956181534,0.0349430702787593,0.0282907662082515,0.0296759078484967,0.0338653172440638,0.0324980422866092,0.031832298136646,0.0344560588463027,0.030174081237911,0.0331642606320718,0.027843137254902,0.0327996876220226,0.033922973578146,0.0331254871395168,0.0328638497652582,0.0280483054148812,0.03203125,0.0261514441842311,0.032398261556697,0.0312481477522616
"8","atp10b","14:22461182",0.330462020360219,0.309892663494522,0.336307214895268,0.32981220657277,0.327868852459016,0.326643053915781,0.346683773079712,0.352794549382374,0.331201690485458,0.339889981663611,0.325962830273175,0.324736225087925,0.328027950310559,0.337053571428571,0.331120655993752,0.342048413006149,0.318197013594829,0.329585110507949,0.314263322884013,0.337071092173133,0.334894613583138,0.325480957989792,0.338246702870442,0.32673045716524,0.342576480493966,0.32530660245282,0.33688452196953,0.336806722689076,0.335420743639922,0.325436893203883,0.326027397260274,0.33683800623053,0.337814469794165,0.327909325552688,0.340779018725343,0.335602678571429,0.329751698029173,0.344612991054065,0.338366240805265,0.330850646805174,0.32456043956044,0.335169158143194,0.315392354124748,0.339299741892044,0.330074305827141,0.347723704866562,0.33340727595386,0.334243369734789,0.324776351614158,0.317207287269496,0.318698637847574,0.332816136539953,0.322428064643279,0.324990222917481,0.326027397260274,0.32922663381307,0.334627329192547,0.332686335403727,0.339938254280101,0.342465753424658,0.32734375,0.321733821733822,0.34010152284264,0.338443396226415,0.344973544973545,0.321637426900585,0.324010495171105,0.335079117450412,0.321891300689887,0.333203429462198,0.328599167822469,0.341747572815534,0.340133385641428,0.349402919062362,0.321177651388424,0.333595903899173,0.32413525068014,0.338773907678501,0.334758942457232,0.324660063790499,0.344544387954634,0.322714062150682,0.327836670592854,0.331181588548976,0.326825458805154,0.334371350720125,0.328560241637767,0.327639751552795,0.345003041867153,0.337717601547389,0.341006632852126,0.332156862745098,0.335360071400681,0.307993730407524,0.318394388152767,0.337581041806394,0.343536089932662,0.344921875,0.325136612021858,0.320821809561438,0.331804239547082
"9","atp1a2a","2:44880680",0.0309318715740016,0.0356312935708753,0.0321955003878976,0.032304940755645,0.0327868852459016,0.0269297801765334,0.027723545490043,0.0310197751066305,0.0311405216037369,0.0353947880202256,0.030564263322884,0.0277452129738179,0.0263975155279503,0.033984375,0.0359234673955486,0.0376114773167895,0.0284711388455538,0.0345094998061264,0.0313479623824451,0.0341444270015699,0.0308352849336456,0.0318021201413428,0.025989138867339,0.0317273795534665,0.0294695481335953,0.026656213249706,0.0278207109737249,0.0368627450980392,0.0332681017612524,0.0345631067961165,0.0293542074363992,0.0311526479750779,0.0304568527918782,0.0298507462686567,0.0303383897316219,0.0296875,0.0268901013250195,0.0315052508751459,0.0348432055749129,0.0305762446099569,0.0246153846153846,0.0318646734854445,0.02660406885759,0.0271013354281225,0.0316777473601877,0.0294348508634223,0.0341614906832298,0.0304212168486739,0.029171528588098,0.0291601866251944,0.0342789598108747,0.034910783553142,0.0268033109972408,0.0301134141572155,0.0342745317305004,0.0337122696981576,0.0283385093167702,0.0298913043478261,0.0322200392927308,0.0328767123287671,0.033203125,0.0345765345765346,0.0300663803201874,0.0294811320754717,0.0315789473684211,0.0329156223893066,0.0367330988667448,0.0327613104524181,0.0310168826069886,0.0300077942322681,0.0337864077669903,0.0306796116504854,0.0317771675166732,0.0290247678018576,0.0284933645589383,0.0289765374444382,0.0318694131364166,0.0325873576756969,0.036547433903577,0.0297688993341167,0.0320688306609308,0.0297339593114241,0.0376914016489988,0.0290766208251473,0.027723545490043,0.0291942390035033,0.0360219263899765,0.0337732919254658,0.0286488579171506,0.0413926499032882,0.0331642606320718,0.0294117647058824,0.0327996876220226,0.0340909090909091,0.0262776973610956,0.0305164319248826,0.0327230229840281,0.0234375,0.0300546448087432,0.0363492690636112,0.0313204235613635
"10","atp7a","14:22461182",0.340977738002014,0.336173508907823,0.333647345672171,0.332606751620836,0.326697892271663,0.350593129813909,0.328052658001897,0.324544397053121,0.32775398987933,0.323665055286992,0.335871025526198,0.333668285602635,0.321428571428571,0.333203125,0.332682545880515,0.322938015842242,0.338589257856029,0.323048800753337,0.329937304075235,0.348172235927338,0.326697892271663,0.329743676033429,0.322010417821124,0.349784567175872,0.330900926185798,0.334770678165425,0.323029366306028,0.343137254901961,0.347162426614481,0.336699029126214,0.321778026279005,0.329105473965287,0.320131645004741,0.326001571091909,0.313441129077068,0.327678571428571,0.343280258323127,0.332166472189809,0.340301974448316,0.324578596628773,0.340384615384615,0.324547600314713,0.331712497205455,0.326450454494445,0.325325437175261,0.322998430141287,0.347881543921917,0.335413416536661,0.338778685336445,0.343312597200622,0.336147697849826,0.323118696664081,0.327552227039811,0.333202972233086,0.33307240704501,0.346194769558156,0.328416149068323,0.337732919254658,0.34375526241931,0.318255521386637,0.345703125,0.353479853479854,0.323757460813298,0.32277628032345,0.327875243664717,0.332553606237817,0.339139172667895,0.338477824827279,0.34314880251276,0.324629773967264,0.335533980582524,0.316116504854369,0.327187132208709,0.327399380804954,0.333723653395785,0.317447814100039,0.343234689911721,0.323573952549218,0.333648078204843,0.331430809691679,0.317559640203363,0.345517549742902,0.338886084469123,0.329722144260455,0.34049199531433,0.338986820886393,0.332811276429131,0.336568322981366,0.322437918256734,0.337717601547389,0.331586868067555,0.342408963585434,0.32448262397501,0.342084639498433,0.33203429462198,0.327911915940085,0.316378206911904,0.328515625,0.331437493029999,0.338601343342552,0.332278839555331
